School,Major,Level,Fall 2010 Female,Fall 2010 Male,Fall 2010 All,Fall 2011 Female,Fall 2011 Male,Fall 2011 Nonbinary,Fall 2011 All,Fall 2012 Female,Fall 2012 Male,Fall 2012 All,Fall 2013 Female,Fall 2013 Male,Fall 2013 All,Fall 2014 Female,Fall 2014 Male,Fall 2014 All,Fall 2016 All,Fall 2016 Male,Fall 2016 Female
Agri Sci and Natural Resources,Animal Science,Undergraduate,213,54,267,289,54,,343,330,58,388,10,2,12,,,,,,
Agri Sci and Natural Resources,Animal Science/Pre-Veterinary Medicine,Undergraduate,,,,,,,,129,25,154,435,68,503,474,85,559,575,104,471
Agri Sci and Natural Resources,Biosystems Engineering,Undergraduate,12,13,25,7,15,,22,11,20,31,6,18,24,13,21,34,60,47,13
Agri Sci and Natural Resources,Environmental & Soil Sciences,Undergraduate,18,12,30,15,23,,38,17,24,41,1,,1,,,,,,
Agri Sci and Natural Resources,Environmental and Soil Sciences,Undergraduate,,,,,,,,3,7,10,22,28,50,28,39,67,150,124,26
Agri Sci and Natural Resources,Food Science & Technology,Undergraduate,,,,,,,,46,10,56,4,,4,,,,,,
Agri Sci and Natural Resources,Food Science And Technology,Undergraduate,15,12,27,35,14,,49,1,,1,38,20,58,43,21,64,150,48,102
Agri Sci and Natural Resources,Forestry,Undergraduate,2,18,20,7,29,,36,13,25,38,8,34,42,9,36,45,80,55,25
Agri Sci and Natural Resources,Natural Resource & Environmental Economics,Undergraduate,,,,,,,,5,7,12,1,,1,,,,,,
Agri Sci and Natural Resources,Natural Resource and Environmental Economics,Undergraduate,,,,,,,,4,,4,5,10,15,10,14,24,,,
Agri Sci and Natural Resources,Plant Sciences,Undergraduate,7,22,29,7,30,,37,18,21,39,23,35,58,14,32,46,130,97,33
Agri Sci and Natural Resources,Wildlife & Fisheries Science,Undergraduate,16,50,66,27,41,,68,29,62,91,1,1,2,,,,,,
Agri Sci and Natural Resources,Wildlife and Fisheries Science,Undergraduate,,,,,,,,1,14,15,42,70,112,43,92,135,162,94,68
Arts and Sciences,Biological Sciences,Undergraduate,,,,,,,,4,1,5,513,294,807,623,306,929,,,
Arts and Sciences,Chemistry,Undergraduate,,,,,,,,,1,1,141,119,260,173,139,312,,,
Arts and Sciences,Computer Science,Undergraduate,,1,1,,,,,,,,,,,,,,,,
Arts and Sciences,Geography,Undergraduate,,1,1,,,,,,1,1,5,15,20,6,13,19,,,
Arts and Sciences,Geology,Undergraduate,1,,1,,,,,,,,,,,,,,,,
Arts and Sciences,Geology and Environmental Studies,Undergraduate,,,,,,,,,,,17,29,46,31,37,68,,,
Arts and Sciences,Mathematics,Undergraduate,1,,1,,,,,,,,88,94,182,99,114,213,,,
