Department,Level,All.Total,All.Men,All.Women,Hispanic.Total,Hispanic.Men,Hispanic.Women,AIAN.Total,AIAN.Men,AIAN.Women,Asian_Pacific_Islander.Women,Asian_Pacific_Islander.Total,Asian_Pacific_Islander.Men,Black.Total,Black.Men,Black.Women,White.Total,White.Men,White.Women,Two_plus.Total,Two_plus.Men,Two_plus.Women,Unknown.Total,Unknown.Men,Unknown.Women,Nonresident_alien.Total,Nonresident_alien.Men,Nonresident_alien.Women
Total,All,"28,052","14,027","14,025","1,038",501,537,69,34,35,900,494,406,"1,783",792,991,"21,351","10,631","10,720",750,338,412,893,425,468,"1,268",812,456
Total,Undergraduate,"22,139","11,214","10,925",816,390,426,49,25,24,780,433,347,"1,468",672,796,"17,369","8,832","8,537",644,301,343,624,320,304,389,241,148
Agricultural Sciences & Natural Resources,Undergraduate,"1,446",643,803,45,15,30,6,6,0,17,3,14,76,18,58,"1,229",571,658,40,16,24,26,10,16,7,4,3
Architecture & Design,Undergraduate,369,143,226,17,9,8,1,0,1,17,8,9,22,8,14,283,111,172,11,3,8,13,1,12,5,3,2
Arts & Sciences,Undergraduate,"6,918",3073,"3,845",317,135,182,15,6,9,301,146,155,544,227,317,"5,246",2344,"2,902",228,95,133,198,84,114,69,36,33
Business Administration,Undergraduate,"4,696",3055,1641,164,105,59,10,6,4,150,91,59,242,138,104,"3,743",2460,1283,114,73,41,135,98,37,138,84,54
Communication & Information,Undergraduate,"1,275",480,795,46,10,36,1,0,1,12,4,8,137,65,72,"1,005",373,632,36,13,23,31,10,21,7,5,2
"Education, Health & Human Sciences",Undergraduate,"2,548",726,1822,74,24,50,6,1,5,50,18,32,213,72,141,"2,052",564,1488,80,23,57,56,15,41,17,9,8
Engineering,Undergraduate,"3,148",2532,616,109,78,31,3,3,0,177,142,35,123,93,30,"2,449",1993,456,88,68,20,120,92,28,79,63,16
Nursing,Undergraduate,619,53,566,8,0,8,3,0,3,17,0,17,24,5,19,537,48,489,11,0,11,19,0,19,0,0,0
Social Work,Undergraduate,184,15,169,8,0,8,1,0,1,1,0,1,17,1,16,142,13,129,8,0,8,6,0,6,1,1,0
University (Undeclared/Transient),Undergraduate,936,494,442,28,14,14,3,3,0,38,21,17,70,45,25,683,355,328,28,10,18,20,10,10,66,36,30
Total,Graduate,"5,913","2,813","3,100",222,111,111,20,9,11,120,61,59,315,120,195,"3,982","1,799","2,183",106,37,69,269,105,164,879,571,308
Agricultural Sciences & Natural Resources,Graduate,237,111,126,8,5,3,0,0,0,3,2,1,5,3,2,148,70,78,6,2,4,8,2,6,59,27,32
Architecture & Design,Graduate,49,26,23,2,1,1,0,0,0,2,0,2,2,1,1,38,23,15,0,0,0,0,0,0,5,1,4
Arts & Sciences,Graduate,"1,250",682,568,53,28,25,5,4,1,16,9,7,41,20,21,814,433,381,20,8,12,90,41,49,211,139,72
Business Administration,Graduate,623,408,215,24,18,6,5,2,3,25,15,10,36,26,10,415,282,133,11,5,6,11,8,3,96,52,44
Communication & Information,Graduate,200,41,159,9,2,7,0,0,0,4,1,3,14,3,11,146,28,118,4,0,4,4,0,4,19,7,12
"Education, Health & Human Sciences",Graduate,839,238,601,27,13,14,2,0,2,15,3,12,64,31,33,644,162,482,22,6,16,17,3,14,48,20,28
Engineering,Graduate,"1,035",826,209,31,23,8,1,1,0,31,23,8,21,16,5,507,428,79,11,9,2,33,22,11,400,304,96
Intercollegiate,Graduate,151,81,70,7,5,2,0,0,0,6,2,4,5,1,4,83,42,41,3,2,1,13,9,4,34,20,14
Law,Graduate,324,178,146,16,10,6,2,1,1,4,3,1,26,4,22,253,149,104,1,1,0,20,10,10,2,0,2
Nursing,Graduate,186,33,153,4,1,3,0,0,0,2,1,1,7,0,7,164,31,133,3,0,3,6,0,6,0,0,0
Social Work,Graduate,554,73,481,26,3,23,3,1,2,7,1,6,76,11,65,407,53,354,16,3,13,15,1,14,4,0,4
Veterinary Medicine,Graduate,345,69,276,12,1,11,2,0,2,2,0,2,10,1,9,268,60,208,4,0,4,47,7,40,0,0,0
University (Undeclared/Transient),Graduate,120,47,73,3,1,2,0,0,0,3,1,2,8,3,5,95,38,57,5,1,4,5,2,3,1,1,0
