Semester,Year,College,Department,Major,Male,Female,Total
Fall,2016,College: Arts and Sciences - Natural Sciences,A&S Pre-Prof,A&S Pre-Prof Medical Lab Science,16,24,40
Fall,2016,Business,Accounting,Accounting,409,269,678
Fall,2016,College: Agri Sci and Natural Resources,All Ag Depts,Ag,643,803,1446
Fall,2016,Business,Analytics,Analytics,248,120,368
Fall,2016,Business,Economics,Bus-Economics,126,30,156
Fall,2016,College: Arts and Sciences - Interdisc,A&S Economics-AS,Economics - A&S,108,22,130
Fall,2016,Engineering,Engineering,Engineering,"2,532",616,"3,148"
Fall,2016,Business,Finance,Finance,425,106,531
Fall,2016,"Education, Health, Human Sciences",Kinesiology etc.,Kinesiology etc.,625,802,1427
Fall,2016,College: Arts and Sciences - Natural Sciences,A&s All Nat Sci Depts,Nat Sci,954,778,1732
Fall,2016,Nursing,Nursing,Nursing,53,566,619
Fall,2016,"Education, Health, Human Sciences",Nutrition,Nutrition,19,145,164
Fall,2016,College: Arts and Sciences - Natural Sciences,A&S Pre-Prof,Pre-Clinical,0,2,2
Fall,2016,College: Arts and Sciences - Natural Sciences,A&S Pre-Prof,Pre-Dental,36,38,74
Fall,2016,College: Arts and Sciences - Natural Sciences,A&S Pre-Prof,Pre-Med,195,312,507
Fall,2016,College: Arts and Sciences - Natural Sciences,A&S Pre-Prof,Pre-Pharm,54,76,130
Fall,2016,College: Arts and Sciences - Natural Sciences,A&S Pre-Prof,Pre-Vet,3,12,15
Fall,2016,College: Arts and Sciences - Interdisc,A&S Statistics-AS,Statistics,28,14,42
